iter	RMSE
0	193124.8767
1	188010.8271
2	183029.4372
3	178306.8081
4	173729.4808
5	169425.2786
6	165093.436
7	160901.1652
8	156586.7295
9	152510.633
10	148584.2046
11	144739.7566
12	141049.136
13	137456.2546
14	134124.1939
15	130889.6649
16	127779.2687
17	124571.5597
18	121490.5452
19	118498.8667
20	115583.8568
21	112809.0149
22	110069.6446
23	107409.3806
24	104859.3774
25	102422.4873
26	100016.4153
27	97638.96886
28	95317.02704
29	93218.77162
30	91049.96328
31	88963.2541
32	86951.86983
33	84956.2189
34	83075.82189
35	81205.31915
36	79458.4475
37	77780.2897
38	76184.26934
39	74566.10791
40	73048.09278
41	71560.28528
42	70071.57374
43	68666.00647
44	67249.0574
45	65937.23985
46	64593.67488
47	63499.77543
48	62332.87956
49	61139.15017
50	60053.94711
51	58956.95787
52	57866.454
53	56851.77306
54	55825.21528
55	54884.2521
56	53997.56589
57	53115.38744
58	52238.6276
59	51400.98994
60	50586.64382
61	49837.99606
62	49074.8677
63	48303.01097
64	47614.15527
65	46953.27861
66	46257.82051
67	45611.42557
68	45013.71652
69	44432.58958
70	43822.9862
71	43232.8397
72	42706.56989
73	42227.47436
74	41756.52941
75	41248.20454
76	40783.56292
77	40338.62739
78	39922.0335
79	39483.01735
80	39026.38751
81	38698.25857
82	38336.23274
83	37916.18851
84	37573.08957
85	37244.84758
86	36860.69646
87	36531.88851
88	36149.38315
89	35752.91187
90	35443.40659
91	35146.08647
92	34889.73667
93	34618.62268
94	34358.72725
95	34112.71569
96	33878.78231
97	33603.67002
98	33419.86585
99	33179.33165
100	32935.1909
101	32651.01624
102	32444.28337
103	32248.03886
104	32060.72777
105	31869.82559
106	31721.55225
107	31526.36445
108	31338.10271
109	31202.11403
110	30987.43036
111	30833.0618
112	30613.46184
113	30490.6543
114	30352.68533
115	30157.57862
116	30015.29015
117	29827.02485
118	29715.60122
119	29573.63288
120	29412.9102
121	29283.41124
122	29137.67333
123	29005.68422
124	28876.43717
125	28771.30614
126	28628.44615
127	28523.76176
128	28420.25441
129	28299.96698
130	28211.36816
131	28086.34271
132	28012.81546
133	27848.5111
134	27702.72032
135	27602.16351
136	27506.14401
137	27430.974
138	27335.1133
139	27271.0341
140	27186.44646
141	27102.5768
142	27003.38543
143	26923.37493
144	26842.11145
145	26745.15326
146	26681.16601
147	26582.27556
148	26524.57343
149	26478.59102
150	26414.61608
151	26297.21501
152	26215.31754
153	26162.51436
154	26095.20186
155	26013.92937
156	25969.57943
