iter	Passed	Remaining
0	14	14004
1	19	9761
2	23	7838
3	28	7047
4	32	6541
5	37	6138
6	41	5899
7	46	5726
8	50	5573
9	54	5399
10	58	5284
11	64	5273
12	68	5209
13	73	5147
14	77	5111
15	82	5068
16	86	4994
17	90	4929
18	94	4872
19	98	4848
20	105	4896
21	112	5000
22	121	5152
23	127	5189
24	132	5159
25	136	5129
26	141	5097
27	145	5051
28	149	4999
29	153	4974
30	157	4930
31	161	4886
32	166	4881
33	171	4863
34	174	4824
35	179	4808
36	184	4797
37	189	4784
38	192	4752
39	197	4738
40	202	4729
41	208	4762
42	215	4792
43	223	4862
44	231	4908
45	236	4907
46	241	4888
47	243	4827
48	248	4814
49	251	4785
50	255	4760
51	259	4734
52	264	4721
53	268	4707
54	273	4696
55	277	4684
56	282	4676
57	286	4653
58	291	4641
59	294	4621
60	299	4609
61	303	4599
62	307	4576
63	316	4626
64	330	4758
65	340	4821
66	365	5089
67	377	5178
68	392	5289
69	402	5343
70	412	5394
71	421	5438
72	428	5438
73	432	5412
74	437	5391
75	443	5391
76	449	5393
77	455	5382
78	459	5353
79	463	5333
80	468	5312
81	471	5280
82	476	5260
83	480	5242
84	485	5223
85	489	5198
86	493	5175
87	497	5159
88	501	5135
89	509	5148
90	516	5160
91	521	5144
92	525	5121
93	529	5106
94	533	5084
95	538	5069
96	542	5054
97	547	5039
98	552	5025
99	556	5008
100	561	4994
101	565	4974
102	569	4955
103	573	4941
104	578	4929
105	585	4936
106	588	4913
107	593	4900
108	597	4881
109	601	4863
110	608	4871
111	620	4922
112	634	4983
113	652	5069
114	656	5055
115	660	5035
116	666	5026
117	670	5010
118	674	4991
119	678	4977
120	682	4959
121	687	4946
122	691	4933
123	696	4920
124	701	4908
125	707	4906
126	712	4897
127	716	4883
128	721	4872
129	726	4860
130	730	4848
131	734	4831
132	739	4820
133	744	4808
134	748	4797
135	752	4780
136	758	4778
137	763	4766
138	767	4755
139	772	4743
140	776	4732
141	780	4716
142	793	4752
143	800	4758
144	808	4768
145	816	4777
146	821	4766
147	826	4758
148	832	4752
149	836	4740
150	840	4725
151	844	4711
152	849	4700
153	853	4689
154	857	4675
155	862	4665
156	866	4654
157	870	4640
158	875	4629
159	879	4619
160	883	4605
161	887	4591
162	890	4571
163	894	4561
164	898	4548
165	902	4534
166	907	4525
167	911	4514
168	915	4502
169	919	4489
170	924	4479
171	931	4484
172	936	4475
173	940	4465
174	944	4452
175	948	4440
176	952	4431
177	957	4421
178	961	4409
179	965	4396
180	969	4387
181	974	4378
182	979	4371
183	983	4363
184	988	4354
185	993	4349
186	1001	4353
187	1008	4357
188	1013	4350
189	1018	4343
190	1024	4338
191	1032	4345
192	1041	4353
193	1049	4360
194	1058	4368
195	1072	4400
196	1081	4409
197	1088	4407
198	1092	4397
199	1097	4388
200	1102	4380
201	1106	4372
202	1110	4361
203	1116	4354
204	1120	4345
205	1125	4336
206	1129	4325
207	1133	4317
208	1138	4309
209	1143	4300
210	1147	4290
211	1151	4278
212	1155	4268
213	1159	4259
214	1164	4252
215	1169	4243
216	1173	4234
217	1178	4226
218	1182	4215
219	1187	4209
220	1195	4214
221	1201	4208
222	1205	4200
223	1209	4191
224	1214	4183
225	1218	4172
226	1222	4163
227	1227	4155
228	1231	4147
229	1236	4139
230	1240	4130
231	1245	4122
232	1250	4114
233	1254	4106
234	1259	4098
235	1263	4091
236	1268	4083
237	1272	4075
238	1276	4065
239	1280	4056
240	1285	4048
241	1289	4040
242	1294	4033
243	1300	4030
244	1311	4040
245	1331	4081
246	1352	4124
247	1357	4117
248	1361	4107
249	1366	4098
250	1370	4088
251	1375	4081
252	1379	4073
253	1388	4077
254	1394	4074
255	1399	4066
256	1404	4059
257	1408	4049
258	1412	4041
259	1417	4033
260	1421	4025
261	1426	4017
262	1430	4008
263	1434	3998
264	1438	3991
265	1443	3983
266	1448	3975
267	1451	3965
268	1455	3956
269	1460	3948
270	1464	3939
271	1468	3931
272	1473	3923
273	1477	3916
274	1481	3906
275	1486	3899
276	1490	3889
277	1494	3882
278	1499	3875
279	1504	3867
280	1508	3858
281	1511	3849
282	1516	3843
283	1520	3834
284	1525	3827
285	1530	3819
286	1534	3812
287	1539	3805
288	1543	3798
289	1548	3792
290	1554	3787
291	1559	3780
292	1563	3771
293	1569	3769
294	1576	3766
295	1586	3773
296	1593	3772
297	1599	3768
298	1605	3762
299	1612	3763
300	1617	3755
301	1621	3746
302	1625	3739
303	1629	3731
304	1634	3724
305	1643	3727
306	1657	3740
307	1668	3749
308	1676	3750
309	1683	3748
310	1688	3741
311	1693	3734
312	1698	3727
313	1702	3719
314	1707	3712
315	1713	3707
316	1717	3699
317	1722	3693
318	1726	3685
319	1731	3680
320	1736	3673
321	1741	3666
322	1745	3658
323	1750	3652
324	1755	3645
325	1760	3639
326	1764	3632
327	1769	3626
328	1772	3615
329	1777	3608
330	1785	3609
331	1793	3609
332	1798	3602
333	1802	3594
334	1807	3587
335	1811	3580
336	1816	3573
